id,damana,espanol,estado,fuente
lfb_MLY_p001_s001,Shindza ushi shka Bibliamba zhanandzinanzhe,Lecciones que aprendo de la Biblia,aprobado,lfb oraciones
lfb_MLY_p002_s001,"Ima zhinzhoma shizhakʉndzega Biblia ingegua kʉ kangʉmamba, neshún nunkurra.",Esta publicación se distribuye como parte de una obra mundial de educación bíblica que se sostiene con donativos. Prohibida su venta.,aprobado,lfb oraciones
lfb_MLY_p002_s002,Gunekʉnegi mimtuwerru gunekakuaga. Gunekega umba mʉjtakuaga donate.jw.org.,"Si desea hacer un donativo, visite donate.jw.org.",aprobado,lfb oraciones
lfb_MLY_p003_s002,Ima zhinzhoma nʉnka,Este libro pertenece a,aprobado,lfb oraciones
lfb_MLY_p004_s001,Kawandzina bʉgui maigungurra:,Queridos hermanos:,aprobado,lfb oraciones
lfb_MLY_p004_s002,Jehová kʉndungurrandzina bʉgui Biblia ugungurra.,"Los que adoramos a Jehová amamos su Palabra, la Biblia.",aprobado,lfb oraciones
lfb_MLY_p004_s003,"Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).",aprobado,lfb oraciones
lfb_MLY_p004_s004,Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi shka Bibliamba zhanandzinanzhe.,"Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.",aprobado,lfb oraciones
lfb_MLY_p004_s005,Maiguin anguashisha awau ñingui zukuega kʉnʉnka ima zhinzhomaga.,Permítannos contarles algunos detalles sobre esta publicación.,aprobado,lfb oraciones
lfb_MLY_p004_s006,Ima zhinzhoma goguma nekantka gʉmtshinamburrunzhe.,Este libro se ha preparado sobre todo pensando en los niños.,aprobado,lfb oraciones
lfb_MLY_p004_s007,"Anguneka awazhʉnga, kʉ shkandzinangua Biblianzhe shindzʉnegi amtʉjkandzina.","No obstante, puede ser también muy útil para los adultos que deseen aprender más de la Biblia.",aprobado,lfb oraciones
lfb_MLY_p004_s008,"Biblia nʉnka shkua zhinzhoma kʉ nʉnka shkandzinanzhe, kʉ nʉnka ʉnkʉndungurra ima shizhakʉndziganzhe, nainguneka awazhʉnga nʉname nʉnai zen zhiguazhi nanega.","Y, como la Biblia es un libro para todo el mundo, no hay duda de que todos nos beneficiaremos de repasar sus lecciones, ya que pueden ayudarnos a ser realmente felices.",aprobado,lfb oraciones
lfb_MLY_p004_s009,"Angogumantka shka ñingui dzineka awantka Bibliamba zhanandzinanzhe, ima zhinzhomaga naiguika kʉskʉna kawandzina kangʉmamba tshijkuaguma ukua.","Basándose en los relatos bíblicos, este libro cuenta la historia de la familia humana desde la creación.",aprobado,lfb oraciones
lfb_MLY_p004_s010,"Gogumantka nuka iba nanún nʉnka kintujkua awega, ganekʉnegi nanuemdzi guaka nekʉnka kʉskʉnangui zhanekantka ingui ukuemdzi zhaneka awantka.","Se ha hecho un esfuerzo especial para presentar esos relatos de manera clara, sencilla y, siempre que ha sido posible, en el orden en que sucedieron.",aprobado,lfb oraciones
lfb_MLY_p004_s011,"Ashaiagumún nʉnka, shkandzina Bibliamba dzineka awantkandzinanzheki.","Sin embargo, este libro no se limita a contar historias bíblicas.",aprobado,lfb oraciones
lfb_MLY_p004_s012,Shetamorrandzinangua gogumantka nuka agʉñi zukuega tua awega shka Bibliamba zhanandzina ingui tua awega ñingui zukuega dzineka awantka.,Tanto el texto como las ilustraciones se han preparado para que los relatos bíblicos cobren vida y reflejen los sentimientos de sus personajes.,aprobado,lfb oraciones
lfb_MLY_p004_s013,Ima zhinzhomaga naijtushisha uka ia Bibliaga guaka uka shka Jehová kʉzhintujkua awantkandzina ingui kʉzhintujkuñí ukuandzinangua ingui nainguneka uka shindza awega shka Bibliamba zhanandzinanzhe (Romanos 15:4; 1 Corintios 10:6).,Esta publicación nos permite ver que la Biblia es un libro que nos habla de personas: las que obedecieron a Jehová y las que desobedecieron. También nos ayuda a aprender lecciones del ejemplo que nos dan esos personajes (Romanos 15:4; 1 Corintios 10:6).,aprobado,lfb oraciones
